id,transcription
134, 
135," Sweetest, sweetest choice When's the word content is mine To see these trees which have appeared From the nativity of time And which all ages have revealed To look to the as fresh and bright"
137, 
140, 
142, 
143, 
146, 
153, 
157, 
161," Semper disolumis, Popul traptam et benaltam, Micicum veniteris, Nun perplutum, dorsum plutum, Erro tuis heleris. Sosa plutis et percutis, Micicum proclaria, Des afectus et defectus, Semper inontaria."
162, 
163, 
167, 
169," The night, and in between, it's nicotine and not that hard to find. Black coffee, feeling low as the ground. It's driving me crazy, just waiting for my baby to maybe come around."
170, 
171, 
174, 
177," That mourns in lonely exile here Until the Son of God appears Rejoice! Rejoice! Emmanuel shall come to thee, O Israel O come, thou Dayspring, come and cheer"
180, 
181, Keep the hinges on this poor door. To be born. To be born. To be born. It is a humble art. To be born.
182, 
185, 
186, 
187, 
189," No name ever, no more, will I play the wild rover. No name ever, no more, and it's no name ever. No name ever, no more, will I play the wild rover. No name ever, no more. Sluts are time."
191, 
192," One time, in all you had, one face, in all the faces, faces, becomes the one you love, the truest you will ever know. Oh, however long you are together before you part, that one will change you for the better. How lucky you are to have been caught. Oh, however long you are together before you part, that one will change you for the better."
194, 
197, 
201, 
203, 
204, 
205, 
208, 
212, 
214, 
218, 
222, Yivu niyum yitbarer yoter veyoter kei reversi bi Li vezeh oreg no nek tek ech chid Hem chad ni yoter revets li Vezeh oreg Vezeh oreg Vezeh oreg Vezeh oreg
226, 
227, 
228, 
231, 
233, 
237," Be all of understanding lost, lost to leaving, but to me sent surely by some power of the universe. My guides appeared around to show me what was known, to show me what was known."
238, 
239, 
241, 
243," tu viserevis. So salutis, et ventutis, in tino cor pariva, et slavnetus, et gendetus, semne vino pariva. Papentora, sildentora, per neb vil soot Lyrae, doctorate, semnetute, perdutaria."
244, Here's my dears. Here's my dears. Farewell. Farewell. The veil.
253," Dance, dance was the night's command Falling we must have planned Circumscrub this barren land And faster creeps are dying there"
258," those chain smoke days. Oh, it's just one of those chain smoke days. Stay in bed all day with you. Stay in bed all day with you. Just one of those chain smoke days. I'm having an awake man, will you please shake me? I'm having an awake man, will you please take me? It's just one of those chain smoke days. It's just one of those chains."
262, 
265," Sadly the cocoa is calling now, I hear him far up in the ruins of grey. Sadly the moonbeams are calling now, A slumbering class and a play. Cocoa, cocoa, cocoa, Cocoa, cocoa, cocoa, Cocoa, cocoa, cocoa, Cocoa, cocoa, cocoa, Sableback."
266, 
274, Meow! Mushy Mushy Mushy Frolics! Mushy Mushy Mushy Frolics! Mushy Mushy Mushy Frolics! Mushy Mushy Mushy Frolics! Pity Pity Pity Witty! Buzz Dance and Gimbels and Giganopark keeping people at disposition for a pot belly yet got! Pity Pity Pity Witty! Mushy Mushy Mushy Frolics! Mushy Mushy Mushy Frolics! Mushy Mushy Mushy Frolics! Pity Pity Pity Witty! Buzz Dance and Gimbels and Giganopark and Giganopark and Giganopark and Giganopark and Giganopark
280," En me aburum, o mi dae, En me aburum, o mi dae, En me aburum, o mi dae, En me aburum, o mi dae, Why don't you wanna go up in India? To the upper..."
286, 
289, 
294, 
303," We speak American English. We speak American English, yeah. 20,000 words of the same shit. Freedom's all you gotta put out there. We speak American English. We speak American English, yeah. Fuck it if you don't understand us. I can barely understand. Well, everybody's looking towards, looking towards the next big thing. Everybody's looking, looking towards the very biggest next big thing."
310," She went to work like any other day. It didn't hit her till that package came. The first thing she saw was the letter. She really wished it was that pale green sweater. Oh honey, I'm sorry, but I've sent a new veil. Tear stained and ragged, the old one just too frail. And there she goes, stepping into those shoes."
311," The material world's from the sun, there would Understand that I don't have a choice, choice I can only call upon that voice, voice Of my dearest friend from way back when A spirit who can lend a hand from all the way Across the great divide Oh, Ghostwriter I'm nothing without you, dear Oh, Ghostwriter I'm nothing without you, here Out the candles and lights I roll back my eyes and stand silent"
321, 
322," I want to say hello. I want to see you smile. I want to hold you in my arms again. I want to do the little things we used to do before. Honey, I can't live without you anymore. I won't be satisfied until you're by my side. Oh, how I'm yearning for that moment when I'll say hello. I'll see you smile. I'll hold you in my arms again. I'll say hello. I'll see you smile. I'll hold you in my arms again."
326,
327," Rikki da Rikki dikki dikki da Rikki dikki da Hey Rikki, it's not so bad It's just Rikki, you're the best friend I have Oh Rikki dikki da Rikki dikki dikki da Rikki da Rikki dikki dikki da Rikki Rikki's on the phone now telling me about Rikki dikki da Rikki dikki dikki da What he's gonna do when he finds out Rikki dikki da Rikki dikki dikki da Is it Mary or Sally or Linda soon Rikki dikki da Rikki dikki dikki da"
328," out of an Albanian or a Russian or a Cuban because I'm an American and I prefer American stuff my parents are also American and my grandparents are American also many of my relatives are American one or two are French oh yeah, I look up at the stars I wonder what's up with that shit you know?"
329, There's too many cars around here And too many parties And too many parties And too many parties And too many parties
332, 
334," But Father would gather the children around. Would gather the children around the old bedside. And Father would go down on his knees. He would say, Lord, I thank you for taking care of my children. But oh, they don't have that time, that time. Church, they don't have that time no more. But you know what? It was a law. It was a law. A law. A law."
342, 
345," My heart used to say to grace, you're the only girl for me. You say that, baby, say that. Let me see my brain in the shade. I didn't pay her any sure, little old my heart. Used to say to grace, you're the only girl for me. You say that, baby, say that. When I live a time in a Russian hill, I have a soul of hearts too. Yes, it's the only and that's true. They'll make you feel like they do."
349," Not a nice man, and that they all do tell. But he made a painting of a mountain, and he painted it fairly well. Wow. Well, the one thing that they said of him was that he was not lazy. But he painted that mountain so many damn times, you knew that he was crazy. Oh, there were some famous artists. Their stories I shall tell. First one's name was Rembrandt. I'm sure you know him well. And the second one's name was Paul Cezanne. When there's just one more, he took a razor and cut off his ear and gave it to Elro. Well, now we come to Vincent and go the mountain."
354," These streets where the shadow meets the pavement And the hole in my shoe grows one more size I tried to make like I could avoid you And I saw those lips and I saw your eyes If I could find that big map for your sweetheart Hold on in the rain For I acted in pain, I'd rather see The demons after me, never losing the love"
355," And cross a poison river in the belly of a shark. Just to drown in her reflection in the lake at Luna Park. I'm stuck on a hat chick girl. When I'm trudging to the pit, she's got me singing sappy songs. When my shovel's getting heavy, she makes me feel strong. When I'm reading in my bed, she makes a short story long."
356, 
359, 
366," In the morning, don't change my underwear. Cloudy skies are always clear. In the mirror, I see clear. Open the door, closing my eyes. I like my dirty fingernails. In the morning, I look up where you sleep. Cloudy skies are always clear. In the mirror, I see clear. Open the door, closing my eyes. I want you, but I'm all in. You come to, and I'm all in. Baby, baby."
369," Wedding band, dilly dally, oh, dilly dally, eh What to do with Stetson Jones? He left the Cadillac, burned, lit a big fat cigar Kissed her on the cheeks and left money in the jar Dilly dally, oh, dilly dally, eh What to do with Stetson Jones? Poor old Sue raised Josie and Jack Mr. Stetson, oh, he never came back They had no clue why he tore out that day At 30, Sue looked 50 What a shame, dilly dally, oh, dilly dally, eh"
370," Well, when that old Old-fashioned preacher Oh, Lord, give up The need to him Then every heartbreak Now with the Holy Ghost All would feel Oh, Lord, all would feel Where people They would be shouting Praise my God"
375," Stranger, I met in Tennessee Life be good, life be quit Tick tock, tick tock, tick, bit of bullet For a stranger, I met in Tennessee Cold sneakin' in and I'm seein' red Little birdies flyin' round in my head Bit of bullet for a stranger, I met in Tennessee Bit of bullet for a stranger, I met in Tennessee"
380, The river of mother waves and The washing of the blood of the sinner Open your eyes Blow on the ocean Chill in the storm
387, 
422, 
426, 
436, 
441," Beats the foot of an enormously tall, tilled tree. What is it? What is it this? I've never seen such a tree. You think you could climb it, Duke? Yes, Master. Duke found any tree he ever seen in his life. Up with you as soon as possible. Boy, it's too dark to see what we are about. How far up now, who is it? Get up the main trunk, and then I'll tell you which way to go. And here, take the deeply with you. The bug, Mr. Will? The dull bug? Why, throw the bug way up the tree. Turn the bug, Duke. What? Why, you are afraid to take hold of a harmless little dead beetle. You can't even carry enough, eh?"
445, 
453, 
459, 
461, 
462, It's science! It's science!
463, 
480, 
485, 
486, 
507, 
512, 
513, 
537,
547," It's alright, it's alright, it's alright What's been done will be done again Don't have to get it right tonight I'll see you in the morning with my sleepy face on As I slowly tiptoe down the hall Coffee's been made, already great day Let's pick up then and do it all again Cause it's alright, it's alright You'll be perky and"
554, 
558, be gone it is clear you sadly have to leave now so i'll wave goodbye good heart when the night is slowly sleeping and we come to the final tune i hold you close to me darling and i hope to see you soon
564," All aground Love was gone, love was here Love was long, but love was near Love was weeping Weeping in my beer Love weeping in my beer Love was weeping in my beer Love was weeping Weeping in my beer I was young, I was old I was hot, I was cold I was bald Yeah, I..."
568, 
580, 
581," You may be sleepin', sleepin'. You may be sleepin', sleepin', sleepin', sleepin', sleepin'. You may be sleepin', sleepin'. You may be sleepin', sleepin'. You may be sleepin', sleepin'. Sleepin', sleepin'. Sleepin', sleepin'. How many fantasies were interrupted by..."
584, 
585," I think of you each single day, I dream of seeing you happy In summertime I thought that I would be able to see you again I do love you, I think of you each single day, I dream of seeing you happy As a bright new year draws closer now"
591," Was thrown back and his spurs were at England And as he approached he was singing this song Whoop-de-tie-i-oh, get along little doggies It's your misfortune and none of my own Whoop-de-tie-i-oh, get along little doggies You know that Wyoming will be your new home Your mother was raised away down in Texas Where the Jimson weed and the sandbirds grow But we'll..."
594,是掉下去的深渊向后倒是我的皮肉骨头我的手肉腹我的念却伸手不解回过头已经不在路上我不是想做凑坑鬼直到下去就难回如果家有一根沙才不会持有坑房
605," Ooh, you flirt You're gonna get me hurt Ooh, you flirt Hey, who's that over there? We'll be right instead Oh, you're gonna get me hurt Ooh, you flirt You're gonna get me hurt Oh, you flirt"
613, 
615," You can order them or just download tracks. And should we play something off of Holdouts? Because actually this is a much heavier album than what we heard just now. Yeah. Even though you go back and forth with both styles. We haven't actually been playing like that pretty much for a year. So this is sort of unusual. Yeah. I mean, usually you have a drummer. Yeah. You have, well, do you have Michael Goodman with you who is on this album? Or do you play with Adam Gold? We play with Adam Gold. Yeah. Mostly. Adam just sort of, he's like the all-around drummer for so many Brooklyn groups. Yeah, he's great. Yeah. Luckily, the last time..."
623, 
637, 
649, 
651," Situation that has passed And I'll not worry about a thing is last I said I've got the answer, baby You were always right And I'm so sorry for causing such a sight I said, well, many of you're smiling That you're in a rage You put up your Berlin Wall Got your demons in a cage And I don't know what's going on In your head So let's get you a drink And send you off to bed And you'll have sweet dreams tonight And when you wake up in the morning You won't bite, no, no I said, you'll have sweet dreams tonight"
660," Oh, this cherry blossom. This cherry blossom. Oh, this cherry blossom."
666, 
667," In hell it doesn't faze me cause I'm crazy about you Go ahead and rap a man Go ahead and slap my head It's like trying to teach a mosquito not to eat you I can't behave when I'm with you Can't come to devil, I can't be held responsible I can't behave when you are here There's something so adulterating Satiating you right, baby When you are here"
672, 
685, 
686, 
708," Another time, another place, another place, another place, another place. You said you were mine. I'm my sister. You said you were my sister Another time, another place Another place, another place"
710, 
715, 
726, 
727, 
738," Sitting down by the fire's light Trying to figure out what's wrong and what's right Sitting down by the fire Blow a pot of mint, your beaver's desire You had to go out into this world To travel all around with that bluesy ragtime girl Watching the silver lining fade You're one step closer every day to your grave There's a devil and an angel on your shoulder, it's true They're always fighting, making a fool out of you There's a drama queen, a king, and they're acting it out They're always trying to tell you what it's all about A happy death is what you crave"
746," Used to be blue, walking around with nothing to do Watching and waiting all the day through For someone I could love Out of the clear sky, brightest sun There came a sunbeam stacking to none I looked and I knew that that was the one The one for me to love Everything turned out so good And no wonder that I'm knocking on wood"
747, 
776, 
777," Oh, shout and shout and go tires, they just don't begin. Oh, no, begin. Oh, no, a little too fast. Oh, no, begin, begin. A little too, no one knows how you sleep at night. Always in a fight, but you look all right. No one knows. Go too slow, go too slow, go."
784," Faut un pot de farine, faut un pot de farine. Faut un pot de la cour, un pot de la cour, vamos mettre le pot de sucre dans le récit sur comme la recuper. Sous-titres par Juanfrance"
787," See, that you know how to tie it standing Everybody in the world has sketched a way of writing Together we can write the song of a happy new year Everybody in the world has sketched a way of writing Together we can write the song of a happy new year"
791, 
796, Wanna pretend I don't Not to have a girl I can't seem to be alone I'm possessed Soul satosis Don't think it's all me Don't think it's fun at all Soul satosis Slip through
806," I like to wake, but he always tries to hold me back I can't wait, I can't wait, I can't wait anymore I wanna tear all the wrapping up the presents, baby And eat all the chocolates off the tree Come and dance around the living room table Start Christmas Day with me I won't spoil all the fun now I said I'd sit tight But I'm just too excited Sat in the glow of the fairy lights Now I'm creeping and crawling back upstairs Quietly Why don't we"
808, 
823," I do want it, I do want it and a little more. Was it weird when I saw y'all saying that you would always complain? I'm pointing somewhere else at everyone. And if you share with Karen, create a brand new joy. Then this moment was worthwhile. I do want it."
826," Tomorrow same time again The conductor Is still stuck on the line But if I Could save you any time Come on, give it to me I'll keep it With mine"
830, 
834, in the real world but even more clicky awkward and absurd and when a vision of dirt turns to me And questions why I came There is no definite answer Just anger of my persistent fucking shame I can't seem to fit it anywhere Even these freaks and now they stare
844,
845, 
850," Girls meet boys and lots of hugging and kissing Under the golden moon that shines a silver light Oh, I'd like to be one of them But I'm like a wandering sheep, a wandering sheep On this island with no one to love me With no one to kiss me That's why I say Someone please take my hand and let's go"
852, 
854, laid on a cross the railroad tracks with you sure think it is true you burst you burst into my soul you crash all the fragile things that I polish each night that I polish and worship each night you lick you lick the cream off my skin you rub the steam off my brim so godly frail I'm floating in soap and water for you I
856, I know that he's a stand-up guy But that's none of my concern We've all been in one situation or another It's my turn To be the other man No one sympathizes When you're the other man That everyone despises He's gonna find out that the rumors are true Though they are still a mean-o But you will find out soon
863," Well, there's end in waiting Fast moves, things is good, they never last Faces floating by me alone I'll try to find my own way home And can you give me back my friends? Can you give me their excuse? I'm no one trying to pretend Now I'm not just like all of them I don't think it's any use"
867," Eu penso em você, onde está agora? Vem me beijar, sente o amor, me namora. Amor, amor. Amor, meu amor. Quero estar no teu caminho, dividir o mesmo ninho, e deitar sobre o teu corpo e por termos nos amar."
869, 
874," I knew that'd be the day, but I just didn't know the date. Looking out my window, you just wouldn't go away. I'm not one who hates, but I know this has got to change. Wake up every morning, all I feel is fear and shame. You don't have to pay me, no, no, no. Why you gotta blame me, no, no, no."
891, 
892," Same way I am at home, same way you guys see me, that's how I am in public. Same way I'm in front of my father, you know, or our father. The only thing I can tell you is, if it's hurting you that much, then forgive me that it's hurting you. But at the same time, I'm here to speak the truth, and love, and to speak the truth. If you don't receive it, that's up to you. I'm here, my only thing is just to get you guys in, and to speak to you guys whatever needs to be spoken, or that other people don't want to hear. Like I said."
902," Da questo suono già, te ne sei ragionita e bozzonai, bocca di te mezzo che non la scurtai, bocca ci sei di su chi ti può ammarrai, che sei sostentoso, arrennecoso, bello su coso, caldo e sovarroso, che sa di me sogo, bisi su uovo, niente che grogo, tu a capo regrogo, ma sa differenza e si bella te dimmi, tu mi dimmi, porta a porta calonimi, venni dei mimmi, te uno che pochini, mi prendi su me giocando a parlami di aprini, so che metti il seu, so sempre il teu, ma tu non vuoi, tu non scetti, c'è il tuo greu, che è il tuo greu, caldo se al reu, cosa c'è che mi faccia cantare tipo un cucueu?"
911," Power of pride and power, talent, tusk and claw. Oh, hear the call, good hunting all, the geek, the jungle, the hall. A dully up from the pond in the wood where the wild deer stop. A wolf stole that, stole that to carry the word to the path. Feet in the jungle that leave no mark, I see in the dark bark. We saw, we found, we lay on his track. Anger is the end of fear, only lidless eyes are clear."
925, 
939," I am walking and keep walking for all my life. I've been here, I've been there, and who but me, who of someone else cares? From the left to the right, from the right to the left, I put myself on sorrow and I was happy for myself. There was rain inside, there was fire in the air, I was walking through all this, until I met who I met. It said that I should stop of walking with no thought, and there was this voice in my head saying that I should keep ahead. You should go on, I can't go on. You should go on, I can't go on. You should go on, I can't go on. I should go on, I can't go on. I should go on, I can't go on."
945, 
954, 
957, 
967, and they were blue and you had a weird monkey there with you and he panted his and tipped his hat and he turned around with a grin so fast and he was me all I could do is think of you the beautiful how beautiful what beautiful you and though there was no place to hide I was so in love in
983, 
985," You know you go, you don't gotta worry now Waste as child, born so wild Don't I know you better than the rest All deception, all deception, bro"
990," Areas de plastilina, tiempo de echar a correr. Puede ser que pasó el tranvía. Puede que no sea tarde todavía. Hacía poco de lo que quería sumergir."
994, 
995," Devrais avoir honte de toi, car vraiment trop de fois, car vraiment trop de fois, tu m'as laissé tomber. Tu m'as laissé tomber. Tu devrais avoir honte de toi, car vraiment trop de fois, car vraiment trop de fois, tu m'as laissé sans toi. Tu m'as laissé sans toi. Tu devrais avoir honte de toi."
1006," I had such a view on branches and an empty playground. The window saved me. I had such a view on branches and an empty playground. From above, looking out. From above, I said, looking down. From above, looking down. I said, from above, looking down. They couldn't get me, the mean boy."
1007," I am good enough they say When I think of love and blame But how can I be myself If I don't have a spirit, a surface, a face Without faces showing my mood Without spirit filling me The human is not good enough, no The human is human Baby, I'm no one's, I'm no one's, I'm no one's baby, baby"
1008," I'm starving, baby. And then the next big thing is going to be, I'll be you and you'll be me. And then the next big thing is going to be everything, everything. So come on. Have you heard the news? What's the new cool? What's the new cool? Oh, come on. What have you got to lose? What's the new cool? What's the new cool? And then the next big thing is going to be a tenderness to the extreme. And the next big thing is going to be moms instead of rock stars. And then the next big thing."
1009," Baby, please don't go. Baby, please don't go. Baby, please don't go and leave me here. You know it's cold out here. Baby, I'm way down here. You know I'm way down here. Baby, I'm way down here on old Parchman's farm. Baby, please don't go. You know it's cold out here. Baby, it's cold out here. Baby, it's cold out here on old Parchman's farm. Baby, please don't go. Baby, please don't go."
1014, I woke up this morning My sweet man could not be found So I'm going down to the river Into it I'm gonna jump I can't keep from worrying Cause I'm down in the dumps I can't keep from worrying
1015, 🎵 🎵
1019, Thank you. Thank you.
1020," my heart to you, I will fall. Magic, magic, oh please be a fruitful lie. Oh, oh, oh. You and I."
1022," Making noise, a warning Oh, jingle, oh, jangle, a boot trot She's known how to It's the new age of sirens calling Mm-hmm Hope, love, dreamers, the ones with trance like ours Sadness Clowing their way hesitantly, knowing it is a suicide mission With sighs, they all agree it's the only way So they call, so they draw, they stomp and sing Parading the new old beat"
1024," down on a long white table so sweet, so cold so fair let her go let her go, God bless her where else she may be she can look this wide world over she'll never find a sweet man like me when I die I want you to dress me in my straight leg shoes put a box-back coat and a Stetson hat put a twenty-dollar gold piece on the wall chain so the boys will know I die standing high"
1026," Oh, we all have our bad days But if you come to know me And if I take you into my family You know that for all of eternity If you need anything, anything"
1030," You see no light change me The night bring me to see That just who looked I fall Cause if we fall We never rise to death We, we, we, we"
1037," Poetry is good to me. Words come so easily. She's a bitch, man. That same old itch still stings and burns. And burns inside me through scars and tears. Through waxy ears. Through endless whiskers, endless wine and beers. Distorted by my jaundiced eye. Distorted by bad memories. And present fears all scare you. All with, all bluff, no cliff. All hand, no eye. All full of spliff. No dice, no games, no..."
1038," Now, come into my parlor, said the other spider. How, said spider? I'm just a spider, ain't no fly. Oh, I'll be climbing walls forever. I don't know even whether I'll be stuck down here until I die. Oh no, please cut back here, said spider too. Now I'm so lonely. Climb this thread that I have lowered in your way. Hey, lonely, said the spider. You're a spider. We are lonely. I don't trust your thread to hold me anyway. And so the spider scuttled to the opposite far corner, where a new and shining web..."
1041," Why don't you play it? It feels the same. Why don't you say it? Such a shame. You feel the way you do. You take no blame. No one touches you. You can't lose what you never had. You can't choose your mum and dad. Talking about me, talking about you. But you don't listen. You never do what you wanna do. Didn't do what I'm going to. Run away, never come back. That's what I say. Everything turns black. Well, what is..."
1042, too won't you please it's like i'm riding down a highway but i'm in the breakdown lane you got my heart pumping high just running through my veins it's taking everything i got to not be stopping your time and if you only say the word oh babe i laid a hammer down i come for you wild and blue because i'm just wild about you and on my knees jenny dear have i made myself clear i ain't come here just for hacking around
1049, Hey girl you look so good I wanna fuck you Hey girl you look so good Hey girl you look so good Hey girl you look so good I wanna fuck you We killed ourselves worth nothing So fuck me fuck me baby We killed ourselves worth nothing we feel ourselves HAYGO YOU LOOK SO GOOD hey yo you look so good you look so good
1051," Jangan lupa like, share, dan subscribe. Terima kasih telah menonton."
1060," A million different lights shine again Lips in mini-scars and white cocaine Kiss me again, kiss me again Give me love, I'm ready to mix in To mix in, oh to mix in To mix in, to mix in, to mix in Oh, oh Tyson baby, do you feel my love? Don't speak no matter baby, who I am Let's go, kiss me for the hardest song Okay, bye, listen again"
1061, She's sweet And tough She like To shake That mind She's cie Oh yeah She's more than just Oh yeah She's more than just Oh yeah I'm more than just Woo
1068, Joy couldn't be found without you. Silence wouldn't miss your sound without you. My feet couldn't leave the ground without you. Without you. Every day I search for something true. Looking closely for the way that would lead me somewhere new. To help me know how to grow. And how to show the love I have for you.
1072," There's no need to run, and no need to hide, But this will go just the way we've run all night. Huh. It's 12 o'clock and I'm ready to go, Typically, my motion looks loco. Yo, where's all my drunkses at? Wait, why does it smell like a monster's head? What the fuck's going on in here? Hey, this doesn't taste like beer, Lime and juice, slime and ooze, Boozy, enthusiastic, spastic, Everybody's dancing fantastic, But those tits look like plastic. Hey, Mrs. Frankenstein, wake up, Makeup doesn't make you look that fine. Your hair is scaring me, cut it off, girl, And I guarantee, All the other vampires in the place to be Are gonna wanna dance with me."
1074," turn you on. This one is strictly for the ladies, hot ladies. This part is supposed to turn you on. This one is strictly for the ladies, hot ladies. This part is supposed to turn you on.こっち あならす ここはまた十字軸 second one of B is always sweet but complicated and emotional, and pockmarked when she walks and punches or and hits ambulances. Approaches are quite efficient, yet not that practical. This one is strictly for the ladies,"
1075," He just looks right at you while squeezing out the biggest shit He asks you for a light, you go back inside while the guy takes another hit He goes one for the money, two for the money, three for the money, and four for the money Wasn't ever about anything but the money, hip-hopping more commercial than the Easter Bunny Let's rock, you don't stop, make your fat asses go pop, lock and drop What the fuck is up and up and track you be? I'm the Uber, YouTuber, Doogie Howser, German Schnauzer, Schnitzel, Straganoff, Hath, Hath, Hasselhoff, Muzzletoff, Molotoff, Cocktail, Pot, Whale Better go home and inhale that stuff that you like to But nobody knows"
1079," my man and we'll be getting it on, on, on, on, on I'm going down to the bus stop to see my baby I'm going down to the bus stop to see my man I'm going down to the bus stop to see my man. And we'll be getting there on, on, on, on, on. And I'm about to go to the bus stop, baby. And we're looking for a man. Let's stop. She's a shabby. She's a shabby."
1081, I don't want to hear. Kill the messenger. God not in fear. Kill the messenger. I don't want to see. Kill the messenger. Let me be. Kill the messenger. Kill the messenger. Kill the messenger.
1087," Пудры, духов и помад Есть фотографии юного мальчика Ощемит мне сердце загадочный взгляд На моем столике в маленькой спальне Среди пудры, духов и помад Этот таблец запал мне в душу И подставил свой чистенький зад Я буду жить, я хочу церковь Подписывайтесь на мой канал И смотрите мои другие видео Подписывайтесь на мой канал И смотрите мои другие видео"
1091," Ты есть, блять, и я тебя буду ебать! Ты есть, блять, и я тебя буду ебать! Через две недели звонишь ты мне, говоришь..."
1093, Кто такой Штрейк?! Д editions Кто такой Штрек? Субтитры сделал DimaTorzok
1096, Thank you. Thank you.
1103, Thank you. Thank you.
1108, Sous-titrage MFP. Sous-titrage MFP.
1110," I'll take it off, what you can't see With a mouth so tired and unneeded And couldn't be to see I won't belong, you'll pass if they try And my emptiness has been postponed By my comfort in the night And the worst light may be She'd be the last one to leave"
1112, you you
1115, 🎵 🎵 🎵 🎵
1116, you you
1122," O meek child of Bethlehem, descend to us, we pray. Cast out our sin and enter in, be born in us today. We hear the Christmas angels, the great glad findings tell. O come to us, abide with us."
1124, Thank you.
1129," In the bleak midwinter, frosty wind made moan. Earth stood hard as iron, water like a stone. Snow had fallen, snow on snow, snow on snow. In the bleak midwinter, long snow fell."
1131, CHOIR SINGS CHOIR SINGS
1132, CHOIR SINGS CHOIR SINGS
1133, you Thank you.
1135, you you
1138, you you
1139, Thank you. Thank you.
1140,
1141, you you
1142, you you
1145, CHOIR SINGS CHOIR SINGS
1148, Thank you. Thank you.
1150, you you
1151, Thank you. Thank you.
1152," Et on chagrira entre temps Tu oses tuer tes amants Mon petit amour, mon cupido Mon poutre, mon petit garçon Viens vite confier tous tes chagrins Maman va te faire un câlin Elle m'énerve, elle les casse Je ne suis pas pour cette pétasse Ça vous rend trop maudit Oui, docteur Dépassez le complexe de vie Mais si ça vous..."
1156, Thank you. Thank you.
1157, Thank you. Thank you.
